sex_orientation,race,edu,food_security,income_group,citizen_years,type,degree
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Bisexual,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Severe
Bisexual,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Gay/Lesbian,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Very low food security,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,anxiety,Moderate
Straight,White,"Some college, no degree",Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,White,Professional school degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Less than a high school diploma,Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Bisexual,Black/African American,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,anxiety,Severe
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Gay/Lesbian,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Low food security,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,Black/African American,High school graduate,Low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Less than a high school diploma,Very low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Low food security,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,Black/African American,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,White,GED or equivalent,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,GED or equivalent,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,Black/African American,Bachelor's degree,Low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,Black/African American,Bachelor's degree,Low food security,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Black/African American,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,Black/African American,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Black/African American,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Black/African American,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Doctoral degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Moderate
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,Black/African American,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Hispanic,High school graduate,Food secure,"$50,000 to $74,999","Non-US Citizen, 10 to less than 15 years",anxiety,Mild
Straight,Hispanic,High school graduate,Food secure,"$50,000 to $74,999","Non-US Citizen, 10 to less than 15 years",depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,Hispanic,Master's degree,Low food security,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Gay/Lesbian,White,Bachelor's degree,Very low food security,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Doctoral degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Something else,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Something else,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Gay/Lesbian,Asian,"Some college, no degree",Food secure,"$0 to $34,999","Non-US Citizen, 5 to less than 10 years",anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,Asian,GED or equivalent,Low food security,"$35,000 to $49,999","Non-US Citizen, 15 years or more",anxiety,Moderate
Straight,Asian,GED or equivalent,Low food security,"$35,000 to $49,999","Non-US Citizen, 15 years or more",depression,Severe
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Hispanic,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Severe
Straight,White,Associate degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,Black/African American,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Straight,Hispanic,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Moderate
Straight,Hispanic,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Bisexual,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Bisexual,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,Asian,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Moderate
Straight,Asian,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Bisexual,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,American Indian and Alaska Native,Less than a high school diploma,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,Black/African American,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Severe
Straight,Black/African American,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Severe
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Professional school degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Very low food security,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Very low food security,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Black/African American,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Moderate
Straight,Black/African American,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Something else,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Something else,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Severe
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,depression,Severe
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,High school graduate,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,anxiety,Moderate
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999","Non-US Citizen, 15 years or more",anxiety,Severe
Straight,White,High school graduate,Food secure,"$0 to $34,999","Non-US Citizen, 15 years or more",depression,Moderate
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Severe
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Black/African American,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Black/African American,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Moderate
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Severe
Straight,White,Associate degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,White,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Professional school degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Professional school degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Severe
Straight,White,GED or equivalent,Food secure,"$50,000 to $74,999",US Citizen,depression,Severe
Straight,White,Bachelor's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Moderate
Straight,White,High school graduate,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Severe
Straight,Hispanic,Less than a high school diploma,Food secure,"$100,000 or greater","Non-US Citizen, 15 years or more",depression,Mild
Straight,Hispanic,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Moderate
Straight,White,Bachelor's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,American Indian and Alaska Native,High school graduate,Food secure,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,American Indian and Alaska Native,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$75,000 to $99,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Very low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Hispanic,Master's degree,Low food security,"$75,000 to $99,999",US Citizen,anxiety,Severe
Straight,Hispanic,Master's degree,Low food security,"$75,000 to $99,999",US Citizen,depression,Severe
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Hispanic,Master's degree,Food secure,"$50,000 to $74,999","Non-US Citizen, 10 to less than 15 years",anxiety,Moderate
Straight,Hispanic,Master's degree,Food secure,"$50,000 to $74,999","Non-US Citizen, 10 to less than 15 years",depression,Severe
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$75,000 to $99,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Moderate
Straight,Black/African American,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,Black/African American,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,GED or equivalent,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Moderate
Straight,White,Doctoral degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
